Price List,,,,,,,,,
,,,,,,,,,
Business Cards, 2x3.5 Qty,,Cost (1sided),,Cost (2sided),,Reorders w/no changes $15.00 less,,
Stock: 14PT,,,,,,,,,
,100,,$59.95,,$64.95,,,,
,250,,$79.95,,$89.95,,,,
`,500,,$99.95,,$119.95,,,,
,1000,,$129.95,,$139.95,,,,
,2500,,$225.95,,$225.95,,,,
,5000,,$279.00,,$279.00,,,,
,Design  Service,,Included ,,Included,,,,
,Setup Service ,,Included ,,Included ,,,,
,,,,,,,,,
Flyers/Invitations,4.25 x 5.5  &  4x6 Qty,,Cost (1sided),,Cost (2-sided),,,,
Stock: 100lb Cover,25,,$28.00,,$32.00,,$81.00,,
,50,,$48.00,,$59.00,,,,
,100,,$69.00,$118.00,$76.00,,,,
,250,,$95.00,,$107.00,,,,
,500,,$135.00,$20.00,$155.00,,,,
,1000,,$158.95,-$30.00,$188.95,(Outhouse) 5-7 bus ,,,
,2500,,$232.95,-$103.00,$262.95,(Outhouse) 5-7 bus,,,
,5000,,$335.95,-$30.00,$365.95,(Outhouse) 5-7 bus,,,
,Design Service,,$49.00,$0.00,$49.00,Only charge this fee if 2nd side is a different original.,,,
,,,,$0.00,,,,,
,,,,,,,,,
Flyers/Invitations,5x7 & 5.5 x 8.5  Qty,,Cost (1sided),,Cost (2-sided),,,,
Stock: 100lb Cover,25,1.81,$45.25,$11.31,$56.56,,,,
,50,1.04,$52.00,$13.00,$65.00,,,,
,100,0.74,$74.00,$18.50,$92.50,,,,
,250,0.54,$135.00,$33.75,$168.75,,,,
,500,0.37,$185.00,$46.25,$231.25,,,,
,1000,,$290.00,,$290.00,,,,
,2500,,$398.00,,$398.00,,,,
,5000,,$540.75,,$540.75,,,,
,Design Service,,$49.00,,$49.00,Only charge this fee is 2nd side is a different original,,,
,Setup Service: if design is camera ready ,,$20.00,,,,,,
,,,,,,,,,
Flyers/Invitations,6.25x9 (1-sided )Qty,,Cost (1sided),,Cost (2-sided),,,,
Stock: 100lb Cover ,25,1.92,$48.00,$12.00,$60.00,,,,
,50,1.32,$66.00,$16.50,$82.50,,,,
,100,1.08,$108.00,$27.00,$135.00,,,,
,250,0.648,$162.00,$40.50,$202.50,,,,
,500,0.408,$204.00,$51.00,$255.00,,,,
,Design Service,,$49.00,,$49.00,,,,
,,,,,,,,,
,,,,,,,,,
Horizontal Yard Signs,18X24 QTY,Price ,1-sided ,,2-sided,,,8x24 & 12x24,Price Per Unit 
Stakes Included/ Design Included,1,59.95 PER UNIT,$59.95,,$59.95,,,1,49.95 PER UNIT 
,2,49.95 PER UNIT,$99.90,,$99.90,,,2,44.95 PER UNIT
,3,46.65 PER UNIT ,$139.95,,$139.95,,,3,43.31 PER UNIT
,4,44.95 PER UNIT,$179.80,,$179.80,,,4,42.45 PER UNIT
,5,41.76 PER UNIT,$208.80,,$208.80,,,5,39.76 PER UNIT
,6,35.47 PER UNIT ,$212.85,,$212.85,,,6,33.80 PER UNIT 
,7,31.13  PER UNIT,$217.97,,$217.97,,,7,30.12 PER UNIT
,8,27.74 PER UNIT,$221.95,,$221.95,,,8,26.49 PER UNIT
,9,25.66 PER UNIT,$230.95,,$230.95,,,9,24.55 PER UNIT
,10,23.99 PER UNIT,$239.95,,$239.95,,,10,22.50 PER UNIT
,Design Service ,,Included,,Included,,,Design Service ,
,,,,,,,,,
EXPRESS POSTERS ,Poster (Multiple Sizes),,,,,,,,
Stock: 100lb and 14pt,11x17 100lb Gloss Text ,$5.00 EACH,,,,,,,
Camera Ready ,12x18 100lb  Gloss Cover,$8.00 EACH,,,,,,,
1-sided Print Price ONLY ,13x19  100lb Gloss Cover,$9.00 EACH,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Posters ,11 x 17 (1sided) Qty ,,,,Cost ,,,,
Stock:32lb ,25,1.48,2.96,3.04,$74.00,,,,
,50,0.98,1.96,2.04,$102.00,,,,
,100,0.73,1.46,1.54,$154.00,,,,
,Design Service,,,,$49.00,,,,
,,,,,,,,,
,,,,,,,,,
Posters ,12x18 (1sided),,,,,,,,
Stock: 14PT ,25,,,6.95,$173.75,,,,
,50,,,4.95,$247.50,,,,
,100,,,3.25,$325.00,,,,
,Design Service,,,,$49.00,,,,
,,,,,,,,,
,,,,,,,,,
Posters,13 x 19 (1sided),,,,,,,,
Stock: 14PT,25,,,7.41,$185.25,,,,
,50,,,5.34,$267.00,,,,
,100,,,3.29,$329.00,,,,
,Design Service,,,,$49.00,,,,
,,,,,,,,,
Mounted Posters,Size,16x20,18x24,24x36,48x48,3ftx6ft ,Cost 57,115,
Stock: Coroplast or Foamcore,,$49.95,$65.00,$95.00,110,115,,,
,Design Service,,,,Included in Prices,149.0 with design,,,
,,,,,,,,,
,,,,,,,,,
Paper Posters,Size,16x20,18x24,24x36,48x48,,,,
60LB ,,$19.95,$29.00,$59.00,,,,,
,Design Service,,,,$49.00,,,,
,,,,,,,,,
,,,,,,,,,
(NEW) Canvas Prints ,Size ,16x20,18x24,20x24,24x36,32x48,,,
,Camera Ready Pricing Only.,$49.00,$57.00,$72.00,$95.40,$113.40,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A- Frame Units Only,,,18x24,24x36,,,,,
Signage separate,,,$159.00,$225.00,,,,,
,,,,78.21 Vendor Cost,,,,,
,,,,,,,,,
Decals/ Stickers/ Labels ,3x3 inch,,,,,,,,
Stock: White Vinyl,25,1.58,,1.66,$41.50,,,,
Description: Standard 3x3 Circle Shape,50,0.86,,1.25,$62.50,,,,
,100,0.42,,1.1,$110.00,,,,
,250,0.4,,0.79,$197.50,,,,
,500,0.32,,0.69,$345.00,,,,
,Design Service,,,,$35.00,,,,
,,,,,,,,,
Tri-Fold Brochures,8.5x11  ,,,,Cost,,,,
Stock Options- Matte or Gloss,25,,,,$69.95,,,,
,50,,,,$92.95,149,,,
,100,,,,$145.95,,,,
,250,,,,$257.95,,,,
,500,,,,$326.95,,,,
,Design Service,,,,$125.00,,,,
,,,,,,,,,
Tri-Fold Brochures (2-sided),11x17,,,,Cost,,,,
Stock Options-Matte or Gloss,25,,,,$106.95,,,,
,50,,,,$144.95,,,,
,100,,,,$228.95,,,,
,250,,,,$480.95,,,,
,500,,,,$592.95,,,,
,Design Service,,,,$125.00,,,,
,,,,,,,,,
Menus (2 sided),8.5x11,,,,Cost,,,,
Stock Options-80lb Gloss Text,25,,,,$52.00,,,,
,50,,,,$74.00,,,,
,75,,,,$73.50,,,,
,100,,,,$90.00,,,,
,150,,,,$156.00,,,,
,200,,,,$188.00,,,,
,250,,,,$214.00,,,,
,500,,,,$230.00,,,,
,1000,,,,$258.40,,,,
,2500,,,,$380.00,,,,
,5000,,,,$459.00,,,,
,Design Service,,,,$150.00,,,,
,,,,,,,,,
